model	loader	kind	cache_mode	metric	value	status
Qwen/Qwen3-14B	ts_serverlessllm_default	ttft	warm	wall_ms	365420.84	OK
Qwen/Qwen3-14B	ts_serverlessllm_io_uring	load_only	cold	wall_ms	367809.01	OK
Qwen/Qwen3-14B	ts_serverlessllm_io_uring	load_only	warm	wall_ms	322845.32	OK
Qwen/Qwen3-14B	ts_serverlessllm_io_uring	steady_state_decode	cold	wall_ms	268772.50	OK
Qwen/Qwen3-14B	ts_serverlessllm_io_uring	steady_state_decode	warm	wall_ms	300324.60	OK
Qwen/Qwen3-14B	ts_serverlessllm_io_uring	ttft	cold	wall_ms	279028.94	OK
Qwen/Qwen3-14B	ts_serverlessllm_io_uring	ttft	warm	wall_ms	323776.17	OK
Qwen/Qwen3-14B	ts_serverlessllm_sync	load_only	cold	wall_ms	333181.48	OK
Qwen/Qwen3-14B	ts_serverlessllm_sync	load_only	warm	wall_ms	302983.87	OK
Qwen/Qwen3-14B	ts_serverlessllm_sync	steady_state_decode	cold	wall_ms	264982.07	OK
Qwen/Qwen3-14B	ts_serverlessllm_sync	steady_state_decode	warm	wall_ms	317923.47	OK
Qwen/Qwen3-14B	ts_serverlessllm_sync	ttft	cold	wall_ms	253142.83	OK
Qwen/Qwen3-14B	ts_serverlessllm_sync	ttft	warm	wall_ms	339493.26	OK
Qwen/Qwen3-32B	native	load_only	cold	wall_ms	998552.78	OK
Qwen/Qwen3-32B	native	steady_state_decode	cold	wall_ms	792045.37	OK
Qwen/Qwen3-32B	native	steady_state_decode	warm	wall_ms	714651.77	OK
Qwen/Qwen3-32B	native	ttft	cold	wall_ms	644328.77	OK
Qwen/Qwen3-32B	native	ttft	warm	wall_ms	712584.30	OK
Qwen/Qwen3-32B	ts_safetensors_default	load_only	cold	wall_ms	490353.15	OK
Qwen/Qwen3-32B	ts_safetensors_default	load_only	warm	wall_ms	535950.00	OK
Qwen/Qwen3-32B	ts_safetensors_default	steady_state_decode	cold	wall_ms	338465.20	OK
Qwen/Qwen3-32B	ts_safetensors_default	steady_state_decode	warm	wall_ms	446280.12	OK
Qwen/Qwen3-32B	ts_safetensors_default	ttft	cold	wall_ms	371707.74	OK
Qwen/Qwen3-32B	ts_safetensors_default	ttft	warm	wall_ms	725161.82	OK
Qwen/Qwen3-32B	ts_safetensors_sync	load_only	cold	wall_ms	515546.97	OK
Qwen/Qwen3-32B	ts_safetensors_sync	load_only	warm	wall_ms	543087.35	OK
Qwen/Qwen3-32B	ts_safetensors_sync	steady_state_decode	cold	wall_ms	554176.44	OK
Qwen/Qwen3-32B	ts_safetensors_sync	steady_state_decode	warm	wall_ms	488338.90	OK
Qwen/Qwen3-32B	ts_safetensors_sync	ttft	cold	wall_ms	442043.39	OK
Qwen/Qwen3-32B	ts_safetensors_sync	ttft	warm	wall_ms	631732.36	OK
Qwen/Qwen3-32B	ts_serverlessllm_default	load_only	cold	wall_ms	492580.80	OK
Qwen/Qwen3-32B	ts_serverlessllm_default	load_only	warm	wall_ms	1077398.41	OK
Qwen/Qwen3-32B	ts_serverlessllm_default	steady_state_decode	cold	wall_ms	394547.95	OK
Qwen/Qwen3-32B	ts_serverlessllm_default	steady_state_decode	warm	wall_ms	568960.28	OK
Qwen/Qwen3-32B	ts_serverlessllm_default	ttft	cold	wall_ms	425371.19	OK
Qwen/Qwen3-32B	ts_serverlessllm_default	ttft	warm	wall_ms	626855.77	OK
Qwen/Qwen3-32B	ts_serverlessllm_sync	load_only	cold	wall_ms	492254.13	OK
Qwen/Qwen3-32B	ts_serverlessllm_sync	load_only	warm	wall_ms	609782.81	OK
Qwen/Qwen3-32B	ts_serverlessllm_sync	steady_state_decode	cold	wall_ms	456993.13	OK
Qwen/Qwen3-32B	ts_serverlessllm_sync	steady_state_decode	warm	wall_ms	636218.42	OK
Qwen/Qwen3-32B	ts_serverlessllm_sync	ttft	cold	wall_ms	411375.40	OK
Qwen/Qwen3-32B	ts_serverlessllm_sync	ttft	warm	wall_ms	451836.27	OK
Qwen/Qwen3-4B	native	load_only	cold	wall_ms	178613.91	OK
Qwen/Qwen3-4B	native	load_only	warm	wall_ms	172862.15	OK
Qwen/Qwen3-4B	native	steady_state_decode	cold	wall_ms	162599.53	OK
Qwen/Qwen3-4B	native	steady_state_decode	warm	wall_ms	192006.05	OK
Qwen/Qwen3-4B	native	ttft	cold	wall_ms	169952.77	OK
Qwen/Qwen3-4B	native	ttft	warm	wall_ms	174308.32	OK
Qwen/Qwen3-4B	ts_safetensors_default	load_only	cold	wall_ms	159820.93	OK
Qwen/Qwen3-4B	ts_safetensors_default	load_only	warm	wall_ms	164959.04	OK
Qwen/Qwen3-4B	ts_safetensors_default	steady_state_decode	cold	wall_ms	161705.60	OK
Qwen/Qwen3-4B	ts_safetensors_default	steady_state_decode	warm	wall_ms	172638.63	OK
Qwen/Qwen3-4B	ts_safetensors_default	ttft	cold	wall_ms	158579.07	OK
Qwen/Qwen3-4B	ts_safetensors_default	ttft	warm	wall_ms	168629.07	OK
Qwen/Qwen3-4B	ts_safetensors_sync	load_only	cold	wall_ms	175147.38	OK
Qwen/Qwen3-4B	ts_safetensors_sync	load_only	warm	wall_ms	163397.84	OK
Qwen/Qwen3-4B	ts_safetensors_sync	steady_state_decode	cold	wall_ms	163223.07	OK
Qwen/Qwen3-4B	ts_safetensors_sync	steady_state_decode	warm	wall_ms	194385.77	OK
Qwen/Qwen3-4B	ts_safetensors_sync	ttft	cold	wall_ms	160821.59	OK
Qwen/Qwen3-4B	ts_safetensors_sync	ttft	warm	wall_ms	143305.13	OK
Qwen/Qwen3-4B	ts_serverlessllm_default	load_only	cold	wall_ms	164263.81	OK
Qwen/Qwen3-4B	ts_serverlessllm_default	load_only	warm	wall_ms	203964.53	OK
Qwen/Qwen3-4B	ts_serverlessllm_default	steady_state_decode	cold	wall_ms	168112.46	OK
Qwen/Qwen3-4B	ts_serverlessllm_default	steady_state_decode	warm	wall_ms	179048.63	OK
Qwen/Qwen3-4B	ts_serverlessllm_default	ttft	cold	wall_ms	156397.92	OK
Qwen/Qwen3-4B	ts_serverlessllm_default	ttft	warm	wall_ms	146148.32	OK
Qwen/Qwen3-4B	ts_serverlessllm_sync	load_only	cold	wall_ms	180785.40	OK
Qwen/Qwen3-4B	ts_serverlessllm_sync	load_only	warm	wall_ms	164869.19	OK
Qwen/Qwen3-4B	ts_serverlessllm_sync	steady_state_decode	cold	wall_ms	171534.52	OK
Qwen/Qwen3-4B	ts_serverlessllm_sync	steady_state_decode	warm	wall_ms	180991.31	OK
Qwen/Qwen3-4B	ts_serverlessllm_sync	ttft	cold	wall_ms	168901.27	OK
Qwen/Qwen3-4B	ts_serverlessllm_sync	ttft	warm	wall_ms	174599.78	OK
Qwen/Qwen3-8B	native	load_only	cold	wall_ms	167608.11	OK
Qwen/Qwen3-8B	native	load_only	warm	wall_ms	192916.47	OK
Qwen/Qwen3-8B	native	steady_state_decode	cold	wall_ms	159363.24	OK
Qwen/Qwen3-8B	native	steady_state_decode	warm	wall_ms	157338.44	OK
Qwen/Qwen3-8B	native	ttft	cold	wall_ms	176168.61	OK
Qwen/Qwen3-8B	native	ttft	warm	wall_ms	153810.13	OK
Qwen/Qwen3-8B	ts_safetensors_default	load_only	cold	wall_ms	154859.74	OK
Qwen/Qwen3-8B	ts_safetensors_default	load_only	warm	wall_ms	176688.53	OK
Qwen/Qwen3-8B	ts_safetensors_default	steady_state_decode	cold	wall_ms	151684.19	OK
Qwen/Qwen3-8B	ts_safetensors_default	steady_state_decode	warm	wall_ms	147523.21	OK
Qwen/Qwen3-8B	ts_safetensors_default	ttft	cold	wall_ms	157603.09	OK
Qwen/Qwen3-8B	ts_safetensors_default	ttft	warm	wall_ms	160928.06	OK
Qwen/Qwen3-8B	ts_safetensors_sync	load_only	cold	wall_ms	152678.35	OK
Qwen/Qwen3-8B	ts_safetensors_sync	load_only	warm	wall_ms	169758.97	OK
Qwen/Qwen3-8B	ts_safetensors_sync	steady_state_decode	cold	wall_ms	144913.63	OK
Qwen/Qwen3-8B	ts_safetensors_sync	steady_state_decode	warm	wall_ms	149707.58	OK
Qwen/Qwen3-8B	ts_safetensors_sync	ttft	cold	wall_ms	171001.54	OK
Qwen/Qwen3-8B	ts_safetensors_sync	ttft	warm	wall_ms	154983.00	OK
Qwen/Qwen3-8B	ts_serverlessllm_default	load_only	cold	wall_ms	159945.13	OK
Qwen/Qwen3-8B	ts_serverlessllm_default	load_only	warm	wall_ms	233358.77	OK
