model	loader	kind	cache_mode	metric	value	status
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	steady_state_decode	cold	init_ms	28379.43	estimated
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	steady_state_decode	warm	decode_avg_ms	22.56	estimated
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	steady_state_decode	warm	decode_max_ms	22.84	estimated
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	steady_state_decode	warm	decode_min_ms	22.29	estimated
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	steady_state_decode	warm	init_ms	26885.07	estimated
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	ttft	cold	first_token_ms	18.59	estimated
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	ttft	cold	init_ms	28608.92	estimated
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	ttft	cold	ttft_ms	28627.51	estimated
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	ttft	warm	first_token_ms	13.11	estimated
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	ttft	warm	init_ms	27469.88	estimated
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	ttft	warm	ttft_ms	27483.00	estimated
Qwen/Qwen3-14B	ts_safetensors_default	load_only	cold	init_ms	160340.90	estimated
Qwen/Qwen3-14B	ts_safetensors_default	load_only	warm	init_ms	143969.95	estimated
Qwen/Qwen3-14B	ts_safetensors_default	steady_state_decode	cold	decode_avg_ms	122.48	estimated
Qwen/Qwen3-14B	ts_safetensors_default	steady_state_decode	cold	decode_max_ms	122.95	estimated
Qwen/Qwen3-14B	ts_safetensors_default	steady_state_decode	cold	decode_min_ms	122.30	estimated
Qwen/Qwen3-14B	ts_safetensors_default	steady_state_decode	cold	init_ms	159016.57	estimated
Qwen/Qwen3-14B	ts_safetensors_default	steady_state_decode	warm	decode_avg_ms	122.74	estimated
Qwen/Qwen3-14B	ts_safetensors_default	steady_state_decode	warm	decode_max_ms	123.12	estimated
Qwen/Qwen3-14B	ts_safetensors_default	steady_state_decode	warm	decode_min_ms	122.57	estimated
