==========================================================================================
RUST-LAYER COLD-CACHE PROFILES (ms)
==========================================================================================

--- SAFETENSORS ---
  Model                     Backend          H100       H200       A100
  Qwen3-4B        ts_safetensors_default              28475.3       159820.9
  Qwen3-4B        ts_safetensors_sync                 28478.8       175147.4
  Qwen3-4B        ts_safetensors_io_uring             29727.2            N/A
  Qwen3-4B        ts_serverlessllm_default            32043.1       164263.8
  Qwen3-4B        ts_serverlessllm_sync               32327.8       180785.4
  Qwen3-4B        ts_serverlessllm_io_uring           31792.3            N/A

  Qwen3-8B        ts_safetensors_default              35555.8       154859.7
  Qwen3-8B        ts_safetensors_sync                 36524.1       152678.4
  Qwen3-8B        ts_safetensors_io_uring             35889.7            N/A
  Qwen3-8B        ts_serverlessllm_default            42549.6       159945.1
  Qwen3-8B        ts_serverlessllm_sync               44371.0       174681.1
  Qwen3-8B        ts_serverlessllm_io_uring           42343.1            N/A

  Qwen3-14B       ts_safetensors_default              47792.0       324407.9
  Qwen3-14B       ts_safetensors_sync                 49435.1       311686.2
  Qwen3-14B       ts_safetensors_io_uring             47751.4       309120.4
  Qwen3-14B       ts_serverlessllm_default            60670.0       330519.7
  Qwen3-14B       ts_serverlessllm_sync               63150.9       333181.5
  Qwen3-14B       ts_serverlessllm_io_uring           61848.8       367809.0

  Qwen3-32B       ts_safetensors_default              88200.0       490353.2
  Qwen3-32B       ts_safetensors_sync                 92421.4       515547.0
  Qwen3-32B       ts_safetensors_io_uring             88164.0            N/A
  Qwen3-32B       ts_serverlessllm_default           112359.5       492580.8
  Qwen3-32B       ts_serverlessllm_sync              124049.3       492254.1
  Qwen3-32B       ts_serverlessllm_io_uring          111717.8            N/A


--- TTFT (H100: ttft_ms, A100: wall_ms) ---

  [WARM]
  Model           Loader                            H100 (ms)      A100 (ms)
  ---------------------------------------------------------------------------
  Qwen3-0.6B      ts_safetensors_default              18171.5       131806.9
  Qwen3-0.6B      ts_safetensors_sync                 18229.0       150891.1
  Qwen3-0.6B      ts_safetensors_io_uring             18984.4            N/A
  Qwen3-0.6B      ts_serverlessllm_default            19329.5       256955.2
  Qwen3-0.6B      ts_serverlessllm_sync               20707.6       151373.6
  Qwen3-0.6B      ts_serverlessllm_io_uring           19396.3            N/A

  SmolLM3-3B      ts_safetensors_default              24800.2            N/A
  SmolLM3-3B      ts_safetensors_sync                 24959.0            N/A
  SmolLM3-3B      ts_safetensors_io_uring             26819.5            N/A
  SmolLM3-3B      ts_serverlessllm_default            26917.4            N/A
  SmolLM3-3B      ts_serverlessllm_sync               29127.7            N/A
  SmolLM3-3B      ts_serverlessllm_io_uring           27778.2            N/A

  Qwen3-4B        ts_safetensors_default              25205.8       168629.1
  Qwen3-4B        ts_safetensors_sync                 25367.5       143305.1
  Qwen3-4B        ts_safetensors_io_uring             27005.3            N/A
  Qwen3-4B        ts_serverlessllm_default            28326.3       146148.3
  Qwen3-4B        ts_serverlessllm_sync               30340.2       174599.8
  Qwen3-4B        ts_serverlessllm_io_uring           28944.4            N/A

  Qwen3-8B        ts_safetensors_default              32223.1       160928.1
  Qwen3-8B        ts_safetensors_sync                 30923.1       154983.0
  Qwen3-8B        ts_safetensors_io_uring             32186.6            N/A
  Qwen3-8B        ts_serverlessllm_default            38974.8       152253.1
  Qwen3-8B        ts_serverlessllm_sync               41561.4       162743.7
  Qwen3-8B        ts_serverlessllm_io_uring           38193.8            N/A

  Qwen3-14B       ts_safetensors_default              43188.7       342354.4
  Qwen3-14B       ts_safetensors_sync                 41767.8       315328.0
  Qwen3-14B       ts_safetensors_io_uring             42935.0       328895.2
  Qwen3-14B       ts_serverlessllm_default            57301.4       365420.8
  Qwen3-14B       ts_serverlessllm_sync               60217.6       339493.3
  Qwen3-14B       ts_serverlessllm_io_uring           55151.4       323776.2

  Qwen3-32B       ts_safetensors_default              82990.6       725161.8
  Qwen3-32B       ts_safetensors_sync                 79226.0       631732.4
  Qwen3-32B       ts_safetensors_io_uring             83972.2            N/A
  Qwen3-32B       ts_serverlessllm_default           106667.7       626855.8
  Qwen3-32B       ts_serverlessllm_sync              121723.5       451836.3
  Qwen3-32B       ts_serverlessllm_io_uring          105436.8            N/A


  [COLD]
  Model           Loader                            H100 (ms)      A100 (ms)
  ---------------------------------------------------------------------------
  Qwen3-0.6B      ts_safetensors_default              20315.7       155589.6
  Qwen3-0.6B      ts_safetensors_sync                 20272.6       164830.1
  Qwen3-0.6B      ts_safetensors_io_uring             21115.6            N/A
  Qwen3-0.6B      ts_serverlessllm_default            21173.2       159555.2
  Qwen3-0.6B      ts_serverlessllm_sync               21570.1       155414.7
  Qwen3-0.6B      ts_serverlessllm_io_uring           21434.1            N/A

  SmolLM3-3B      ts_safetensors_default              27802.3            N/A
  SmolLM3-3B      ts_safetensors_sync                 27463.4            N/A
  SmolLM3-3B      ts_safetensors_io_uring             29886.5            N/A
  SmolLM3-3B      ts_serverlessllm_default            29714.9            N/A
  SmolLM3-3B      ts_serverlessllm_sync               30871.8            N/A
  SmolLM3-3B      ts_serverlessllm_io_uring           30147.5            N/A

  Qwen3-4B        ts_safetensors_default              28529.8       158579.1
  Qwen3-4B        ts_safetensors_sync                 28605.2       160821.6
  Qwen3-4B        ts_safetensors_io_uring             30030.0            N/A
  Qwen3-4B        ts_serverlessllm_default            32257.8       156397.9
  Qwen3-4B        ts_serverlessllm_sync               32427.0       168901.3
  Qwen3-4B        ts_serverlessllm_io_uring           31820.3            N/A

  Qwen3-8B        ts_safetensors_default              35099.8       157603.1
  Qwen3-8B        ts_safetensors_sync                 35639.2       171001.5
  Qwen3-8B        ts_safetensors_io_uring             35381.8            N/A
  Qwen3-8B        ts_serverlessllm_default            42175.4       166548.5
  Qwen3-8B        ts_serverlessllm_sync               43629.9       156695.5
  Qwen3-8B        ts_serverlessllm_io_uring           42129.6            N/A

  Qwen3-14B       ts_safetensors_default              48201.5       279002.2
  Qwen3-14B       ts_safetensors_sync                 49695.5       250524.3
  Qwen3-14B       ts_safetensors_io_uring             48981.6       233575.0
  Qwen3-14B       ts_serverlessllm_default            60525.7       239114.3
  Qwen3-14B       ts_serverlessllm_sync               63060.1       253142.8
  Qwen3-14B       ts_serverlessllm_io_uring           60511.5       279028.9

  Qwen3-32B       ts_safetensors_default              88550.8       371707.7
  Qwen3-32B       ts_safetensors_sync                 94070.8       442043.4
  Qwen3-32B       ts_safetensors_io_uring             89293.5            N/A
