model	format	backend	rep	time_ms	tensors	bytes
Qwen/Qwen3-4B	serverlessllm	default	1	6694.13	398	8044936192
Qwen/Qwen3-4B	serverlessllm	default	2	6178.63	398	8044936192
Qwen/Qwen3-4B	serverlessllm	default	3	4687.71	398	8044936192
Qwen/Qwen3-4B	serverlessllm	default	4	6199.62	398	8044936192
Qwen/Qwen3-4B	serverlessllm	default	5	5386.85	398	8044936192
Qwen/Qwen3-8B	safetensors	sync	1	6502.38	399	0
Qwen/Qwen3-8B	safetensors	sync	2	6498.20	399	0
Qwen/Qwen3-8B	safetensors	sync	3	6496.19	399	0
Qwen/Qwen3-8B	safetensors	sync	4	3781.30	399	0
Qwen/Qwen3-8B	safetensors	sync	5	6266.14	399	0
Qwen/Qwen3-8B	safetensors	async	1	4151.70	399	0
Qwen/Qwen3-8B	safetensors	async	2	6267.35	399	0
Qwen/Qwen3-8B	safetensors	async	3	5689.97	399	0
Qwen/Qwen3-8B	safetensors	async	4	3576.33	399	0
Qwen/Qwen3-8B	safetensors	async	5	5377.93	399	0
Qwen/Qwen3-8B	safetensors	default	1	5272.55	399	0
Qwen/Qwen3-8B	safetensors	default	2	5000.08	399	0
Qwen/Qwen3-8B	safetensors	default	3	6400.43	399	0
Qwen/Qwen3-8B	safetensors	default	4	5563.76	399	0
Qwen/Qwen3-8B	safetensors	default	5	6364.27	399	0
Qwen/Qwen3-8B	serverlessllm	sync	1	13871.92	399	16381470720
Qwen/Qwen3-8B	serverlessllm	sync	2	13381.87	399	16381470720
Qwen/Qwen3-8B	serverlessllm	sync	3	13831.37	399	16381470720
Qwen/Qwen3-8B	serverlessllm	sync	4	11369.41	399	16381470720
Qwen/Qwen3-8B	serverlessllm	sync	5	12292.56	399	16381470720
Qwen/Qwen3-8B	serverlessllm	async	1	12585.02	399	16381470720
Qwen/Qwen3-8B	serverlessllm	async	2	12808.10	399	16381470720
Qwen/Qwen3-8B	serverlessllm	async	3	10834.72	399	16381470720
Qwen/Qwen3-8B	serverlessllm	async	4	13578.81	399	16381470720
Qwen/Qwen3-8B	serverlessllm	async	5	13252.48	399	16381470720
Qwen/Qwen3-8B	serverlessllm	default	1	12017.31	399	16381470720
Qwen/Qwen3-8B	serverlessllm	default	2	11819.37	399	16381470720
Qwen/Qwen3-8B	serverlessllm	default	3	11077.59	399	16381470720
Qwen/Qwen3-8B	serverlessllm	default	4	10221.10	399	16381470720
Qwen/Qwen3-8B	serverlessllm	default	5	11889.80	399	16381470720
Qwen/Qwen3-14B	safetensors	sync	1	6647.09	443	0
Qwen/Qwen3-14B	safetensors	sync	2	11082.16	443	0
Qwen/Qwen3-14B	safetensors	sync	3	10547.35	443	0
Qwen/Qwen3-14B	safetensors	sync	4	11189.17	443	0
Qwen/Qwen3-14B	safetensors	sync	5	10913.15	443	0
Qwen/Qwen3-14B	safetensors	async	1	9981.21	443	0
Qwen/Qwen3-14B	safetensors	async	2	9910.27	443	0
Qwen/Qwen3-14B	safetensors	async	3	10747.75	443	0
Qwen/Qwen3-14B	safetensors	async	4	6860.01	443	0
Qwen/Qwen3-14B	safetensors	async	5	6680.66	443	0
Qwen/Qwen3-14B	safetensors	default	1	6520.43	443	0
Qwen/Qwen3-14B	safetensors	default	2	21393.62	443	0
Qwen/Qwen3-14B	safetensors	default	3	9429.51	443	0
Qwen/Qwen3-14B	safetensors	default	4	11365.27	443	0
Qwen/Qwen3-14B	safetensors	default	5	10515.76	443	0
Qwen/Qwen3-14B	serverlessllm	sync	1	24870.92	443	29536614400
Qwen/Qwen3-14B	serverlessllm	sync	2	22816.41	443	29536614400
Qwen/Qwen3-14B	serverlessllm	sync	3	23612.68	443	29536614400
Qwen/Qwen3-14B	serverlessllm	sync	4	22290.22	443	29536614400
Qwen/Qwen3-14B	serverlessllm	sync	5	21697.45	443	29536614400
Qwen/Qwen3-14B	serverlessllm	async	1	23069.44	443	29536614400
Qwen/Qwen3-14B	serverlessllm	async	2	23326.62	443	29536614400
Qwen/Qwen3-14B	serverlessllm	async	3	22043.25	443	29536614400
Qwen/Qwen3-14B	serverlessllm	async	4	22506.89	443	29536614400
Qwen/Qwen3-14B	serverlessllm	async	5	23203.05	443	29536614400
Qwen/Qwen3-14B	serverlessllm	default	1	22480.26	443	29536614400
Qwen/Qwen3-14B	serverlessllm	default	2	19498.15	443	29536614400
Qwen/Qwen3-14B	serverlessllm	default	3	24596.36	443	29536614400
Qwen/Qwen3-14B	serverlessllm	default	4	19781.53	443	29536614400
Qwen/Qwen3-14B	serverlessllm	default	5	24068.82	443	29536614400
Qwen/Qwen3-32B	safetensors	sync	1	15190.58	707	0
Qwen/Qwen3-32B	safetensors	sync	2	23548.79	707	0
Qwen/Qwen3-32B	safetensors	sync	3	23314.13	707	0
Qwen/Qwen3-32B	safetensors	sync	4	24039.00	707	0
Qwen/Qwen3-32B	safetensors	sync	5	23067.83	707	0
Qwen/Qwen3-32B	safetensors	async	1	20871.34	707	0
Qwen/Qwen3-32B	safetensors	async	2	14417.75	707	0
Qwen/Qwen3-32B	safetensors	async	3	14748.71	707	0
Qwen/Qwen3-32B	safetensors	async	4	21031.94	707	0
