model	loader	benchmark_kind	rep	init_ms	ttft_ms	first_token_ms	decode_avg_ms	decode_min_ms	decode_max_ms
Qwen/Qwen3-4B	ts_serverlessllm_async	load_only	5	21067.29	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-8B	native	load_only	1	21087.16	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-8B	native	load_only	2	22132.40	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-8B	native	load_only	3	23464.95	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-8B	native	load_only	4	22364.49	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-8B	native	load_only	5	25788.27	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-8B	ts_safetensors_sync	load_only	1	32995.11	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-8B	ts_safetensors_sync	load_only	2	29838.20	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-8B	ts_safetensors_sync	load_only	3	31902.27	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-8B	ts_safetensors_sync	load_only	4	30915.64	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-8B	ts_safetensors_sync	load_only	5	24246.64	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-8B	ts_safetensors_async	load_only	1	24234.70	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-8B	ts_safetensors_async	load_only	2	26203.38	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-8B	ts_safetensors_async	load_only	3	26244.15	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-8B	ts_safetensors_async	load_only	4	25329.06	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-8B	ts_safetensors_async	load_only	5	24850.04	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-8B	ts_serverlessllm_sync	load_only	1	46830.14	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-8B	ts_serverlessllm_sync	load_only	2	44162.18	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-8B	ts_serverlessllm_sync	load_only	3	102717.53	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-8B	ts_serverlessllm_sync	load_only	4	40914.09	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-8B	ts_serverlessllm_sync	load_only	5	42091.05	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-8B	ts_serverlessllm_async	load_only	1	43515.43	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-8B	ts_serverlessllm_async	load_only	2	45363.67	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-8B	ts_serverlessllm_async	load_only	3	43216.54	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-8B	ts_serverlessllm_async	load_only	4	44504.05	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-8B	ts_serverlessllm_async	load_only	5	45123.49	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-14B	native	load_only	1	65273.57	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-14B	native	load_only	2	60632.85	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-14B	native	load_only	3	42752.61	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-14B	native	load_only	4	26651.44	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-14B	native	load_only	5	37058.65	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-14B	ts_safetensors_sync	load_only	1	47635.26	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-14B	ts_safetensors_sync	load_only	2	52898.96	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-14B	ts_safetensors_sync	load_only	3	56957.59	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-14B	ts_safetensors_sync	load_only	4	44673.39	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-14B	ts_safetensors_sync	load_only	5	34348.41	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-14B	ts_safetensors_async	load_only	1	145202.40	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-14B	ts_safetensors_async	load_only	2	37264.57	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-14B	ts_safetensors_async	load_only	3	52042.48	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-14B	ts_safetensors_async	load_only	4	37554.78	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-14B	ts_safetensors_async	load_only	5	35756.17	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-14B	ts_serverlessllm_sync	load_only	1	74186.53	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-14B	ts_serverlessllm_sync	load_only	2	65252.10	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-14B	ts_serverlessllm_sync	load_only	3	71664.94	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-14B	ts_serverlessllm_sync	load_only	4	69405.27	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-14B	ts_serverlessllm_sync	load_only	5	86337.68	0.00	0.00	0.00	0.00	0.00
Qwen/Qwen3-14B	ts_serverlessllm_async	load_only	1	69809.29	0.00	0.00	0.00	0.00	0.00
