format	model	backend	iter1_ms	iter2_ms	iter3_ms	mean_ms	min_ms	max_ms	tensors	bytes
safetensors	qwen-qwen3-14b	async	4652.28	4204.45	4189.83	4348.85	4189.83	4652.28	443	29536665640
safetensors	qwen-qwen3-14b	default	4950.41	4931.12	4889.99	4923.84	4889.99	4950.41	443	29536665640
safetensors	qwen-qwen3-32b	sync	11084.88	15754.38	18843.88	15227.72	11084.88	18843.88	707	65524328560
safetensors	qwen-qwen3-32b	async	25515.02	10072.32	—	—	10072.32	25515.02	707	65524328560
safetensors	qwen-qwen3-32b	default	27722.57	9512.81	—	—	9512.81	27722.57	707	65524328560
format	model	backend	iter1_ms	iter2_ms	iter3_ms	mean_ms	min_ms	max_ms	tensors	bytes
safetensors	qwen-qwen3-0.6b	io-uring-warm	1234.53	203.44	203.02	547.00	203.02	1234.53	311	1503300328
safetensors	huggingfacetb-smollm3-3b	io-uring-warm	4596.32	744.44	737.61	2026.12	737.61	4596.32	326	6150235008
safetensors	qwen-qwen3-4b	io-uring-warm	6032.16	952.98	954.25	2646.46	952.98	6032.16	398	8044982000
safetensors	qwen-qwen3-8b	io-uring-warm	11953.68	1907.31	1904.10	5255.03	1904.10	11953.68	399	16381516776
safetensors	qwen-qwen3-14b	io-uring-warm	21559.50	6312.05	3443.60	10438.38	3443.60	21559.50	443	29536665640
safetensors	qwen-qwen3-32b	io-uring-warm	31370.95	22639.34	9336.61	21115.64	9336.61	31370.95	707	65524328560
