format	model	backend	rep	ms	tensors	bytes
serverlessllm	qwen-qwen3-8b	async	5	9837.17	399	16381470720
serverlessllm	qwen-qwen3-8b	io-uring	1	7216.29	399	16381470720
serverlessllm	qwen-qwen3-8b	io-uring	2	7267.02	399	16381470720
serverlessllm	qwen-qwen3-8b	io-uring	3	8884.83	399	16381470720
serverlessllm	qwen-qwen3-8b	io-uring	4	7278.42	399	16381470720
serverlessllm	qwen-qwen3-8b	io-uring	5	7118.83	399	16381470720
serverlessllm	qwen-qwen3-8b	default	1	8127.48	399	16381470720
serverlessllm	qwen-qwen3-8b	default	2	8059.26	399	16381470720
serverlessllm	qwen-qwen3-8b	default	3	7630.46	399	16381470720
serverlessllm	qwen-qwen3-8b	default	4	9143.26	399	16381470720
serverlessllm	qwen-qwen3-8b	default	5	7586.28	399	16381470720
serverlessllm	qwen-qwen3-32b	sync	1	40691.38	707	65524246528
serverlessllm	qwen-qwen3-32b	sync	2	39240.74	707	65524246528
serverlessllm	qwen-qwen3-32b	sync	3	37785.33	707	65524246528
serverlessllm	qwen-qwen3-32b	sync	4	38712.94	707	65524246528
serverlessllm	qwen-qwen3-32b	sync	5	39377.59	707	65524246528
serverlessllm	qwen-qwen3-32b	async	1	29010.56	707	65524246528
serverlessllm	qwen-qwen3-32b	async	2	28810.91	707	65524246528
serverlessllm	qwen-qwen3-32b	async	3	28639.44	707	65524246528
serverlessllm	qwen-qwen3-32b	async	4	29222.41	707	65524246528
serverlessllm	qwen-qwen3-32b	async	5	29199.08	707	65524246528
serverlessllm	qwen-qwen3-32b	io-uring	1	27980.05	707	65524246528
serverlessllm	qwen-qwen3-32b	io-uring	2	26663.65	707	65524246528
serverlessllm	qwen-qwen3-32b	io-uring	3	27451.92	707	65524246528
serverlessllm	qwen-qwen3-32b	io-uring	4	29152.43	707	65524246528
serverlessllm	qwen-qwen3-32b	io-uring	5	27910.41	707	65524246528
serverlessllm	qwen-qwen3-32b	default	1	29544.87	707	65524246528
serverlessllm	qwen-qwen3-32b	default	2	28386.59	707	65524246528
serverlessllm	qwen-qwen3-32b	default	3	28773.29	707	65524246528
serverlessllm	qwen-qwen3-32b	default	4	28781.99	707	65524246528
serverlessllm	qwen-qwen3-32b	default	5	29068.39	707	65524246528
