model	format	backend	rep	time_ms	tensors	bytes
Qwen/Qwen3-32B	safetensors	default	4	24975.95	707	0
Qwen/Qwen3-32B	safetensors	default	5	23656.59	707	0
Qwen/Qwen3-32B	serverlessllm	sync	1	39620.69	707	65524246528
Qwen/Qwen3-32B	serverlessllm	sync	2	32910.12	707	65524246528
Qwen/Qwen3-32B	serverlessllm	sync	3	33916.65	707	65524246528
Qwen/Qwen3-32B	serverlessllm	sync	4	34656.14	707	65524246528
Qwen/Qwen3-32B	serverlessllm	sync	5	32290.87	707	65524246528
Qwen/Qwen3-32B	serverlessllm	async	1	21496.39	707	65524246528
Qwen/Qwen3-32B	serverlessllm	async	2	20302.83	707	65524246528
Qwen/Qwen3-32B	serverlessllm	async	3	22032.98	707	65524246528
Qwen/Qwen3-32B	serverlessllm	async	4	21867.38	707	65524246528
Qwen/Qwen3-32B	serverlessllm	async	5	19788.46	707	65524246528
Qwen/Qwen3-32B	serverlessllm	io-uring	1			
Qwen/Qwen3-32B	serverlessllm	io-uring	2			
Qwen/Qwen3-32B	serverlessllm	io-uring	3			
Qwen/Qwen3-32B	serverlessllm	io-uring	4			
Qwen/Qwen3-32B	serverlessllm	io-uring	5			
Qwen/Qwen3-32B	serverlessllm	default	1			
Qwen/Qwen3-32B	serverlessllm	default	2			
Qwen/Qwen3-32B	serverlessllm	default	3			
Qwen/Qwen3-32B	serverlessllm	default	4			
Qwen/Qwen3-32B	serverlessllm	default	5			
