model	loader	kind	cache_mode	metric	value	status
Qwen/Qwen3-0.6B	ts_serverlessllm_io_uring	steady_state_decode	warm	init_ms	19503.952939999865	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_io_uring	steady_state_decode	warm	decode_avg_ms	17.342846400015333	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_io_uring	steady_state_decode	warm	decode_min_ms	17.201011999986804	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_io_uring	steady_state_decode	warm	decode_max_ms	17.537784999831274	OK
Qwen/Qwen3-0.6B	native	load_only	cold	init_ms	23659.497558999872	OK
Qwen/Qwen3-0.6B	native	ttft	cold	init_ms	22438.009699000075	OK
Qwen/Qwen3-0.6B	native	ttft	cold	first_token_ms	15.948610000123153	OK
Qwen/Qwen3-0.6B	native	ttft	cold	ttft_ms	22453.958309000198	OK
Qwen/Qwen3-0.6B	native	steady_state_decode	cold	init_ms	22369.82467199982	OK
Qwen/Qwen3-0.6B	native	steady_state_decode	cold	decode_avg_ms	17.211605399961627	OK
Qwen/Qwen3-0.6B	native	steady_state_decode	cold	decode_min_ms	17.086300000073606	OK
Qwen/Qwen3-0.6B	native	steady_state_decode	cold	decode_max_ms	17.53440499987846	OK
Qwen/Qwen3-0.6B	ts_safetensors_default	load_only	cold	init_ms	20577.936732999886	OK
Qwen/Qwen3-0.6B	ts_safetensors_default	ttft	cold	init_ms	20301.180081999973	OK
Qwen/Qwen3-0.6B	ts_safetensors_default	ttft	cold	first_token_ms	14.498755999966306	OK
Qwen/Qwen3-0.6B	ts_safetensors_default	ttft	cold	ttft_ms	20315.67883799994	OK
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	cold	init_ms	20087.376964999974	OK
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	cold	decode_avg_ms	17.427330400005303	OK
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	cold	decode_min_ms	17.261828000073365	OK
Qwen/Qwen3-0.6B	ts_safetensors_default	steady_state_decode	cold	decode_max_ms	17.79551499998888	OK
Qwen/Qwen3-0.6B	ts_safetensors_sync	load_only	cold	init_ms	20417.418482999892	OK
Qwen/Qwen3-0.6B	ts_safetensors_sync	ttft	cold	init_ms	20258.16865799993	OK
Qwen/Qwen3-0.6B	ts_safetensors_sync	ttft	cold	first_token_ms	14.433549999921524	OK
Qwen/Qwen3-0.6B	ts_safetensors_sync	ttft	cold	ttft_ms	20272.60220799985	OK
Qwen/Qwen3-0.6B	ts_safetensors_sync	steady_state_decode	cold	init_ms	20241.410807999957	OK
Qwen/Qwen3-0.6B	ts_safetensors_sync	steady_state_decode	cold	decode_avg_ms	17.47557680000682	OK
Qwen/Qwen3-0.6B	ts_safetensors_sync	steady_state_decode	cold	decode_min_ms	17.328904000123657	OK
Qwen/Qwen3-0.6B	ts_safetensors_sync	steady_state_decode	cold	decode_max_ms	17.67608399995879	OK
Qwen/Qwen3-0.6B	ts_safetensors_io_uring	load_only	cold	init_ms	20867.136762999962	OK
Qwen/Qwen3-0.6B	ts_safetensors_io_uring	ttft	cold	init_ms	21101.12234999997	OK
Qwen/Qwen3-0.6B	ts_safetensors_io_uring	ttft	cold	first_token_ms	14.481995000096504	OK
Qwen/Qwen3-0.6B	ts_safetensors_io_uring	ttft	cold	ttft_ms	21115.604345000065	OK
Qwen/Qwen3-0.6B	ts_safetensors_io_uring	steady_state_decode	cold	init_ms	21148.028428999853	OK
Qwen/Qwen3-0.6B	ts_safetensors_io_uring	steady_state_decode	cold	decode_avg_ms	17.75008439994963	OK
Qwen/Qwen3-0.6B	ts_safetensors_io_uring	steady_state_decode	cold	decode_min_ms	17.619863999925656	OK
Qwen/Qwen3-0.6B	ts_safetensors_io_uring	steady_state_decode	cold	decode_max_ms	17.93036599997322	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_default	load_only	cold	init_ms	21649.207043999922	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_default	ttft	cold	init_ms	21158.183925000005	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_default	ttft	cold	first_token_ms	15.010364999852754	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_default	ttft	cold	ttft_ms	21173.194289999858	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_default	steady_state_decode	cold	init_ms	21245.63103399987	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_default	steady_state_decode	cold	decode_avg_ms	17.384107799944104	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_default	steady_state_decode	cold	decode_min_ms	17.229920999852766	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_default	steady_state_decode	cold	decode_max_ms	17.673042000069472	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	load_only	cold	init_ms	21191.06463200001	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	ttft	cold	init_ms	21555.78357099989	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	ttft	cold	first_token_ms	14.299450999942565	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	ttft	cold	ttft_ms	21570.08302199983	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	steady_state_decode	cold	init_ms	21382.871555999827	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	steady_state_decode	cold	decode_avg_ms	17.3370531999808	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	steady_state_decode	cold	decode_min_ms	17.212902999972357	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_sync	steady_state_decode	cold	decode_max_ms	17.619578999983787	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_io_uring	load_only	cold	init_ms	21262.048653999955	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_io_uring	ttft	cold	init_ms	21418.95985799988	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_io_uring	ttft	cold	first_token_ms	15.187616000048365	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_io_uring	ttft	cold	ttft_ms	21434.147473999925	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_io_uring	steady_state_decode	cold	init_ms	21225.701941999887	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_io_uring	steady_state_decode	cold	decode_avg_ms	17.326913399983823	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_io_uring	steady_state_decode	cold	decode_min_ms	17.21050399987689	OK
Qwen/Qwen3-0.6B	ts_serverlessllm_io_uring	steady_state_decode	cold	decode_max_ms	17.613151999967158	OK
HuggingFaceTB/SmolLM3-3B	native	load_only	warm	init_ms	68627.71039699987	OK
HuggingFaceTB/SmolLM3-3B	native	ttft	warm	init_ms	22872.869506999905	OK
HuggingFaceTB/SmolLM3-3B	native	ttft	warm	first_token_ms	10.485224999911225	OK
HuggingFaceTB/SmolLM3-3B	native	ttft	warm	ttft_ms	22883.354731999818	OK
HuggingFaceTB/SmolLM3-3B	native	steady_state_decode	warm	init_ms	22954.874766000103	OK
HuggingFaceTB/SmolLM3-3B	native	steady_state_decode	warm	decode_avg_ms	36.07433820006918	OK
HuggingFaceTB/SmolLM3-3B	native	steady_state_decode	warm	decode_min_ms	35.940892000098756	OK
HuggingFaceTB/SmolLM3-3B	native	steady_state_decode	warm	decode_max_ms	36.34446800015212	OK
HuggingFaceTB/SmolLM3-3B	ts_safetensors_default	load_only	warm	init_ms	24960.458335000112	OK
HuggingFaceTB/SmolLM3-3B	ts_safetensors_default	ttft	warm	init_ms	24789.74932599999	OK
HuggingFaceTB/SmolLM3-3B	ts_safetensors_default	ttft	warm	first_token_ms	10.450377999859484	OK
HuggingFaceTB/SmolLM3-3B	ts_safetensors_default	ttft	warm	ttft_ms	24800.19970399985	OK
HuggingFaceTB/SmolLM3-3B	ts_safetensors_default	steady_state_decode	warm	init_ms	24882.874910000057	OK
HuggingFaceTB/SmolLM3-3B	ts_safetensors_default	steady_state_decode	warm	decode_avg_ms	35.9714060000897	OK
HuggingFaceTB/SmolLM3-3B	ts_safetensors_default	steady_state_decode	warm	decode_min_ms	35.781203000169626	OK
HuggingFaceTB/SmolLM3-3B	ts_safetensors_default	steady_state_decode	warm	decode_max_ms	36.212054000088756	OK
HuggingFaceTB/SmolLM3-3B	ts_safetensors_sync	load_only	warm	init_ms	24689.770398999826	OK
HuggingFaceTB/SmolLM3-3B	ts_safetensors_sync	ttft	warm	init_ms	24948.342945999684	OK
HuggingFaceTB/SmolLM3-3B	ts_safetensors_sync	ttft	warm	first_token_ms	10.615780000080122	OK
HuggingFaceTB/SmolLM3-3B	ts_safetensors_sync	ttft	warm	ttft_ms	24958.958725999764	OK
HuggingFaceTB/SmolLM3-3B	ts_safetensors_sync	steady_state_decode	warm	init_ms	24603.209766999953	OK
HuggingFaceTB/SmolLM3-3B	ts_safetensors_sync	steady_state_decode	warm	decode_avg_ms	35.93577479996384	OK
HuggingFaceTB/SmolLM3-3B	ts_safetensors_sync	steady_state_decode	warm	decode_min_ms	35.715987000003224	OK
HuggingFaceTB/SmolLM3-3B	ts_safetensors_sync	steady_state_decode	warm	decode_max_ms	36.37684500017713	OK
HuggingFaceTB/SmolLM3-3B	ts_safetensors_io_uring	load_only	warm	init_ms	26999.142116000257	OK
HuggingFaceTB/SmolLM3-3B	ts_safetensors_io_uring	ttft	warm	init_ms	26808.975914000257	OK
HuggingFaceTB/SmolLM3-3B	ts_safetensors_io_uring	ttft	warm	first_token_ms	10.571094000169978	OK
